CNPJ,Valor_corrigido,Anomalia,k
02530487000220,164.54,0,2
02530487000220,94.77,0,2
02530487000220,45.77,0,2
02530487000220,115.3,1,2
02530487000220,71.39,0,2
02530487000220,43.45,0,2
02530487000220,55.02,0,2
02530487000220,23.51,0,2
02530487000220,45.17,0,2
02530487000220,39.26,0,2
02530487000220,72.13,0,2
02530487000220,30.53,0,2
02530487000220,36.06,0,2
02530487000220,25.36,0,2
02530487000220,44.07,0,2
02530487000220,156.0,0,2
02530487000220,53.79,0,2
02530487000220,28.47,0,2
02530487000220,64.01,0,2
02530487000220,29.21,0,2
02530487000220,39.91,0,2
02530487000220,63.4,0,2
02530487000220,91.41,0,2
02530487000220,130.67,0,2
02530487000220,23.13,0,2
02530487000220,91.78,0,2
02530487000220,74.15,0,2
02530487000220,31.89,0,2
02530487000220,51.89,0,2
02530487000220,19.88,0,2
02530487000220,28.76,0,2
02530487000220,227.08,0,2
02530487000220,267.84,1,2
02530487000220,76.21,0,2
02530487000220,60.35,0,2
02530487000220,58.0,0,2
02530487000220,24.4,0,2
02530487000220,82.35,0,2
02530487000220,81.61,0,2
02530487000220,113.68,1,2
02530487000220,58.08,0,2
02530487000220,119.5,0,2
02530487000220,27.24,0,2
02530487000220,8.67,0,2
02530487000220,62.17,0,2
02530487000220,51.75,0,2
02530487000220,27.72,0,2
02530487000220,33.39,0,2
02530487000220,148.41,0,2
02530487000220,313.82,1,2
02530487000220,64.5,0,2
02530487000220,128.12,0,2
02530487000220,71.56,0,2
02530487000220,44.85,0,2
02530487000220,47.24,0,2
02530487000220,158.99,0,2
02530487000220,104.43,0,2
02530487000220,14.21,0,2
02530487000220,32.67,0,2
02530487000220,126.1,0,2
02530487000220,24.83,0,2
02530487000220,71.71,0,2
02530487000220,44.09,0,2
02530487000220,39.0,0,2
02530487000220,68.08,0,2
02530487000220,20.83,0,2
02530487000220,46.03,0,2
02530487000220,21.2,0,2
02530487000220,31.47,0,2
02530487000220,48.54,0,2
02530487000220,21.06,0,2
02530487000220,250.32,1,2
02530487000220,32.2,0,2
02530487000220,63.06,0,2
02530487000220,133.15,0,2
02530487000220,40.55,0,2
03071465000121,287.94,0,10
03071465000121,821.38,0,10
