Data,CNPJ,Valor,Valor_corrigido
2013-01-01,43153626000140,151.58,270.09
2013-01-01,60892478000103,132.4,235.91
2013-01-01,61358578000109,134.4,239.47
2013-01-01,03278166000162,27.9,49.71
2013-01-01,09060964000442,48.5,86.42
2013-01-01,09060964003034,19.53,34.8
2013-01-01,09456178000116,33.2,59.16
2013-01-01,12333940000181,9.0,16.04
2013-01-01,14009379000105,12.68,22.59
2013-01-01,16434601000142,21.11,37.61
2013-01-01,60039328000143,78.1,139.16
2013-01-01,61084018000103,62.16,110.76
2013-02-01,02105990000158,222.5,394.09
2013-02-01,07201070000157,116.6,206.52
2013-02-01,09377324000118,239.42,424.06
2013-02-01,47445317000103,37.4,66.24
2013-02-01,53762076000110,401.0,710.24
2013-02-01,72908353002904,45.4,80.41
2013-02-01,,99.0,175.35
2013-02-01,10940972000110,300.0,531.35
2013-02-01,00156629000125,80.0,141.69
2013-02-01,02741286000191,92.73,164.24
2013-02-01,03333348000199,74.85,132.57
2013-02-01,07499995000207,74.81,132.5
2013-02-01,61830204000144,107.58,190.54
2013-02-01,65684037000121,32.34,57.28
2013-02-01,47249370000120,213.0,377.26
2013-02-01,01388514000129,25.19,44.62
2013-02-01,02502070000173,26.8,47.47
2013-02-01,02760810000171,33.5,59.33
2013-02-01,02836700000146,110.0,194.83
2013-02-01,03274723000177,46.3,82.01
2013-02-01,03281533000187,40.0,70.85
2013-02-01,03374591000155,21.0,37.19
2013-02-01,04728600000121,19.0,33.65
2013-02-01,09075587000172,35.5,62.88
2013-02-01,09326918000108,38.0,67.3
2013-02-01,09585759000158,48.53,85.96
2013-02-01,12300579000197,100.0,177.12
2013-02-01,13590113000136,25.5,45.17
2013-02-01,13722330000132,23.5,41.62
2013-02-01,14576823000174,22.0,38.97
2013-02-01,14828551000152,16.0,28.34
2013-02-01,14829793000160,13.0,23.03
2013-02-01,15379600000180,20.0,35.42
2013-02-01,16975390000155,13.0,23.03
2013-02-01,49983893000121,111.5,197.49
2013-02-01,53220695000183,69.0,122.21
2013-02-01,59597849000137,66.0,116.9
2013-02-01,64563257000134,52.7,93.34
2013-02-01,69020238000185,123.9,219.45
2013-02-01,07499995000207,32.8,58.09
2013-02-01,62971056000140,454.83,805.59
2013-02-01,04881800000110,18.6,32.94
2013-02-01,08375627000139,189.99,336.51
2013-02-01,61359691000109,31.2,55.26
2013-02-01,02905110018094,19.2,34.01
2013-02-01,07229129000115,91.05,161.27
2013-02-01,43386903000165,72.9,129.12
2013-02-01,43599000000162,62.19,110.15
2013-02-01,54481247000104,161.5,286.05
2013-02-01,72908353001681,17.95,31.79
2013-02-01,00096115000121,67.54,119.63
2013-02-01,,189.0,334.75
2013-02-01,05403689000119,62.04,109.88
2013-02-01,08285094000102,62.78,111.19
2013-02-01,66150210000174,36.7,65.0
2013-02-01,07499995000207,39.65,70.23
2013-02-01,09536662000155,38.2,67.66
2013-02-01,11344550000225,79.0,139.92
2013-02-01,11384785000160,117.25,207.67
2013-02-01,71916076000100,167.64,296.92
2013-02-01,72908353003544,35.8,63.41
2013-02-01,02012862000160,3194.12,5657.36
2013-02-01,07597939000124,72.93,129.17
2013-02-01,08801746000106,111.8,198.02
2013-02-01,59965038000141,157.67,279.26
2013-02-01,02530487000220,25.0,44.28
2013-02-01,02861681000108,69.0,122.21
2013-02-01,06152015000402,86.1,152.5
2013-02-01,07283422000160,53.46,94.69
2013-02-01,07713908000191,144.98,256.79
2013-02-01,08300383000125,246.4,436.42
2013-02-01,09560852000108,130.0,230.25
2013-02-01,12247362000160,71.0,125.75
2013-02-01,13335349000126,95.7,169.5
2013-02-01,15069120000112,193.5,342.72
2013-02-01,46328787000116,58.75,104.06
2013-02-01,52789427000386,311.96,552.54
2013-02-01,67886622000806,61.7,109.28
2013-02-01,72908353001924,91.03,161.23
2013-02-01,72908353002068,60.65,107.42
2013-02-01,04341874000163,24.0,42.51
2013-02-01,06878936000104,90.65,160.56
2013-02-01,53762076000110,522.0,924.56
2013-02-01,54867247000139,49.0,86.79
2013-02-01,57147225000192,35.0,61.99
2013-02-01,60907029000183,120.0,212.54
2013-02-01,66728858000185,96.55,171.01
2013-02-01,69237907000175,19.0,33.65
2013-02-01,,221.0,391.43
2013-02-01,00248893000199,46.0,81.47
2013-02-01,02584661000137,225.0,398.52
2013-02-01,03027974000157,73.7,130.54
2013-02-01,04907334000102,203.4,360.26
2013-02-01,06222016000125,92.51,163.85
2013-02-01,07390595000188,66.6,117.96
2013-02-01,10015901000100,3.5,6.2
2013-02-01,12124147000172,23.77,42.1
2013-02-01,14073689000199,27.0,47.82
2013-02-01,15181197000180,55.78,98.8
2013-02-01,47079496000447,21.9,38.79
2013-02-01,55334262000184,139.62,247.29
2013-02-01,05099646000191,225.0,398.52
2013-02-01,44993632000179,87.81,155.53
2013-02-01,61084018000103,113.6,201.21
2013-02-01,07499995000207,58.64,103.86
2013-02-01,73152423000109,452.4,801.28
2013-02-01,09295277001135,16.0,28.34
2013-02-01,72908353001924,70.2,124.34
2013-02-01,72908353002068,231.35,409.76
2013-02-01,05593311000125,60.0,106.27
2013-02-01,10243338000128,20.0,35.42
2013-02-01,16566656000106,200.0,354.24
2013-02-01,46014122000138,24.01,42.53
2013-02-01,46379152000148,25.0,44.28
2013-02-01,55854566000172,19.99,35.41
2013-02-01,56530025000151,7.0,12.4
2013-02-01,58565771000106,16.31,28.89
2013-02-01,58760349000101,20.0,35.42
2013-02-01,61084018000103,24.18,42.83
2013-02-01,62191002000162,18.46,32.7
2013-02-01,75156265000263,48.56,86.01
2013-02-01,78055084001049,50.7,89.8
2013-02-01,,286.0,506.56
2013-02-01,46899837000115,30.0,53.14
2013-02-01,61084018000103,310.04,549.14
2013-02-01,,129.0,228.48
2013-02-01,02206351000189,59.61,105.58
2013-02-01,04354020000111,11.7,20.72
2013-02-01,04689799000126,46.8,82.89
2013-02-01,04881800000110,100.3,177.65
2013-02-01,07499995000207,204.95,363.0
2013-02-01,50470673000183,13.3,23.56
2013-02-01,72908353003030,59.91,106.11
