"Data","CNPJ","Valor_corrigido"
"2018-03-01","44508430000194",77.87
"2018-03-01","56954290000167",75.84
"2018-03-01","61084018000103",54.63
"2018-03-01","01233061000161",222.69
"2018-03-01","02575829000148",558.06
"2018-03-01","07313514000146",183.44
"2018-03-01","07424109000103",129.46
"2018-03-01","09060964010324",123.44
"2018-03-01","09296295000160",463.17
"2018-03-01","09456550000194",141.13
"2018-03-01","20802001000167",294.22
"2018-03-01","22457841000165",92.84
"2018-03-01","23425714000228",727.12
"2018-03-01","24764983000109",653.82
"2018-03-01","27364939000191",273.22
"2018-03-01","27967483000154",147.35
"2018-03-01","57505810000117",221.38
"2018-03-01","61358859000161",196.15
"2018-03-01","66728858000185",549.6
"2018-03-01","13795359000144",353.06
"2018-03-01","14421203000166",287.68
"2018-03-01","64120074000144",444.6
"2018-03-01","56007859000187",593.48
"2018-03-01","58699232000240",43.13
"2018-03-01","61084018000103",621.05
"2018-03-01","00021716000175",640.75
"2018-03-01","06276203000191",325.08
"2018-03-01","09456704000148",112.85
"2018-03-01","17215024000160",354.24
"2018-03-01","04553781000100",11.9
"2018-03-01","05285806000430",41.41
"2018-03-01","09504566000125",59.89
"2018-03-01","10527727000185",176.05
"2018-03-01","10576994000142",57.54
"2018-03-01","10680578000190",49.48
"2018-03-01","10841547001145",57.54
"2018-03-01","26301668000162",39.23
"2018-03-01","27139720000199",40.98
"2018-03-01","27505258000104",28.77
"2018-03-01","45631645000160",63.42
"2018-03-01","57868226000126",143.84
"2018-03-01","66728858000185",175.49
"2018-03-01","74476011000189",61.46
"2018-03-01","",19.61
"2018-03-01","22825303000186",741.44
"2018-03-01","25118077000191",514.06
"2018-03-01","00454432000172",27.91
"2018-03-01","02530487000220",51.65
"2018-03-01","03282496000121",64.47
"2018-03-01","03300974004923",117.54
"2018-03-01","08869930000350",22.67
"2018-03-01","09060964010405",52.18
"2018-03-01","09447557000140",32.43
"2018-03-01","11384785000160",199.6
"2018-03-01","17050362000190",34.53
"2018-03-01","43307545000158",32.69
"2018-03-01","65684037000393",54.27
"2018-03-01","01061991000266",268.92
"2018-03-01","05324131000148",180.46
"2018-03-01","05397406000173",67.21
"2018-03-01","06131195000195",388.17
"2018-03-01","07725657000165",302.72
"2018-03-01","08342606000117",57.54
"2018-03-01","09447557000140",53.2
"2018-03-01","09456704000148",126.97
"2018-03-01","09456714000183",113.77
"2018-03-01","10716973000185",70.61
"2018-03-01","12069561000126",78.46
"2018-03-01","12457670000110",418.45
"2018-03-01","15490520000105",268.85
"2018-03-01","18664325000134",74.27
"2018-03-01","18806397000179",122.92
"2018-03-01","19531809000178",117.69
"2018-03-01","22683792000189",301.96
"2018-03-01","22707399000188",220.99
"2018-03-01","27052352000147",117.69
"2018-03-01","27482007000143",95.07
"2018-03-01","28189275000134",10.46
"2018-03-01","48798870000184",196.15
"2018-03-01","57140634000167",209.22
"2018-03-01","57640856000149",104.61
"2018-03-01","58699232000240",64.3
"2018-03-01","59597849000137",61.98
"2018-03-01","61084018000103",101.47
"2018-03-01","64115165000191",140.18
"2018-03-01","74383670000170",359.21
"2018-03-01","74476011000189",71.92
"2018-03-01","02012862000160",1073.8
"2018-03-01","09296295000160",685.69
"2018-03-01","00585773000187",65.68
"2018-03-01","02530487000220",54.92
"2018-03-01","03300974004923",31.79
"2018-03-01","09060964010162",25.5
